DISCHARGE,PAT_COUNTY,hospitalizations
2019Q1,1,4
2019Q1,3,4
2019Q1,5,2
2019Q1,7,1
2019Q1,13,7
2019Q1,15,1
2019Q1,19,4
2019Q1,21,8
2019Q1,25,8
2019Q1,27,72
2019Q1,29,352
2019Q1,37,5
2019Q1,39,35
2019Q1,41,12
2019Q1,43,1
2019Q1,47,1
2019Q1,49,3
2019Q1,51,1
2019Q1,53,1
2019Q1,55,7
2019Q1,57,3
2019Q1,59,2
2019Q1,61,48
2019Q1,67,1
2019Q1,71,3
2019Q1,73,7
2019Q1,75,1
2019Q1,81,1
2019Q1,85,64
2019Q1,89,4
2019Q1,91,23
2019Q1,93,1
2019Q1,97,2
2019Q1,99,6
2019Q1,101,1
2019Q1,103,1
2019Q1,111,1
2019Q1,113,283
2019Q1,115,2
2019Q1,117,3
2019Q1,121,50
2019Q1,123,3
2019Q1,127,1
2019Q1,133,1
2019Q1,135,28
2019Q1,137,2
2019Q1,139,19
2019Q1,141,142
2019Q1,143,4
2019Q1,145,3
2019Q1,147,3
2019Q1,157,63
2019Q1,161,2
2019Q1,163,3
2019Q1,165,2
2019Q1,167,72
2019Q1,171,2
2019Q1,175,1
2019Q1,177,1
2019Q1,179,4
2019Q1,181,20
2019Q1,183,16
2019Q1,185,3
2019Q1,187,15
2019Q1,189,6
2019Q1,193,2
2019Q1,195,1
2019Q1,199,3
2019Q1,201,494
2019Q1,203,10
2019Q1,207,1
2019Q1,209,27
2019Q1,213,6
2019Q1,215,109
2019Q1,217,2
2019Q1,219,3
2019Q1,221,4
2019Q1,223,6
2019Q1,225,2
2019Q1,227,1
2019Q1,229,2
2019Q1,231,2
2019Q1,233,5
2019Q1,239,1
2019Q1,241,7
2019Q1,243,1
2019Q1,245,23
2019Q1,249,2
2019Q1,251,21
2019Q1,253,2
2019Q1,255,2
2019Q1,257,15
2019Q1,259,7
2019Q1,265,3
2019Q1,267,1
2019Q1,273,6
2019Q1,275,1
2019Q1,277,5
2019Q1,279,1
2019Q1,281,7
2019Q1,283,1
2019Q1,289,4
2019Q1,291,8
2019Q1,293,2
2019Q1,297,1
2019Q1,299,1
2019Q1,303,35
2019Q1,305,1
2019Q1,307,2
2019Q1,309,43
2019Q1,313,1
2019Q1,315,2
2019Q1,317,1
2019Q1,321,2
2019Q1,323,3
2019Q1,325,4
2019Q1,329,12
2019Q1,331,6
2019Q1,335,2
2019Q1,337,1
2019Q1,339,66
2019Q1,341,1
2019Q1,343,1
2019Q1,347,9
2019Q1,349,3
2019Q1,351,3
2019Q1,353,3
2019Q1,355,40
2019Q1,361,14
2019Q1,363,2
2019Q1,367,6
2019Q1,371,1
2019Q1,373,3
2019Q1,375,23
2019Q1,377,1
2019Q1,381,19
2019Q1,389,3
2019Q1,395,4
2019Q1,397,3
2019Q1,399,3
2019Q1,401,3
2019Q1,409,4
2019Q1,413,1
2019Q1,417,1
2019Q1,423,22
2019Q1,425,1
2019Q1,427,3
2019Q1,439,212
2019Q1,441,29
2019Q1,445,6
2019Q1,447,2
2019Q1,449,1
2019Q1,451,31
2019Q1,453,88
2019Q1,459,1
2019Q1,463,2
2019Q1,465,4
2019Q1,467,4
2019Q1,469,8
2019Q1,471,8
2019Q1,473,9
2019Q1,475,2
2019Q1,477,3
2019Q1,479,22
2019Q1,481,3
2019Q1,485,10
2019Q1,487,1
2019Q1,489,3
2019Q1,491,34
2019Q1,493,4
2019Q1,495,1
2019Q1,497,2
2019Q1,499,3
2019Q1,501,1
2019Q1,503,5
2019Q1,505,1
2019Q1,507,2
2019Q1,NA,85
