"DISCHARGE","PAT_COUNTY","hospitalizations","COUNTY_NAME"
"2019Q1"," NA",85,NA
"2019Q1","001",4,"Anderson County"
"2019Q1","003",4,"Andrews County"
"2019Q1","005",2,"Angelina County"
"2019Q1","007",1,"Aransas County"
"2019Q1","013",7,"Atascosa County"
"2019Q1","015",1,"Austin County"
"2019Q1","019",4,"Bandera County"
"2019Q1","021",8,"Bastrop County"
"2019Q1","025",8,"Bee County"
"2019Q1","027",72,"Bell County"
"2019Q1","029",352,"Bexar County"
"2019Q1","037",5,"Bowie County"
"2019Q1","039",35,"Brazoria County"
"2019Q1","041",12,"Brazos County"
"2019Q1","043",1,"Brewster County"
"2019Q1","047",1,"Brooks County"
"2019Q1","049",3,"Brown County"
"2019Q1","051",1,"Burleson County"
"2019Q1","053",1,"Burnet County"
"2019Q1","055",7,"Caldwell County"
"2019Q1","057",3,"Calhoun County"
"2019Q1","059",2,"Callahan County"
"2019Q1","061",48,"Cameron County"
"2019Q1","067",1,"Cass County"
"2019Q1","071",3,"Chambers County"
"2019Q1","073",7,"Cherokee County"
"2019Q1","075",1,"Childress County"
"2019Q1","081",1,"Coke County"
"2019Q1","085",64,"Collin County"
"2019Q1","089",4,"Colorado County"
"2019Q1","091",23,"Comal County"
"2019Q1","093",1,"Comanche County"
"2019Q1","097",2,"Cooke County"
"2019Q1","099",6,"Coryell County"
"2019Q1","101",1,"Cottle County"
"2019Q1","103",1,"Crane County"
"2019Q1","111",1,"Dallam County"
"2019Q1","113",283,"Dallas County"
"2019Q1","115",2,"Dawson County"
"2019Q1","117",3,"Deaf Smith County"
"2019Q1","121",50,"Denton County"
"2019Q1","123",3,"DeWitt County"
"2019Q1","127",1,"Dimmit County"
"2019Q1","133",1,"Eastland County"
"2019Q1","135",28,"Ector County"
"2019Q1","137",2,"Edwards County"
"2019Q1","139",19,"Ellis County"
"2019Q1","141",142,"El Paso County"
"2019Q1","143",4,"Erath County"
"2019Q1","145",3,"Falls County"
